¿Cuál es la idea central de la primera sesión del curso DeV4GiRLS sobre la construcción de una app?,"Una app es un sistema que contiene varios juegos, no un único juego grande, y su diseño debe decidirse antes de escribir código."
"En el contexto del curso, ¿cuál es la diferencia clave entre un proyecto de Scratch y la app que se va a construir?","Un proyecto de Scratch equivale a un juego, mientras que el proyecto de la app contendrá varios juegos organizados en un sistema."
"Además de la estructura de un proyecto, ¿qué otra diferencia existe entre la organización en Scratch y en una app real?","En Scratch, los escenarios y sprites están mezclados, mientras que en la app las partes estarán separadas y organizadas."
Nombra un concepto de programación aprendido en Scratch que SÍ se reutiliza al diseñar una app más compleja.,"Pensar en ""estados"" (como jugando, ganado o perdido)."
"Aparte de los estados, ¿qué otro concepto lógico fundamental de Scratch se aplica en la ingeniería de software real?","El uso de eventos (clic, tecla) y la lógica condicional (si... entonces...)."
"Al pasar de Scratch a la ingeniería de software, el nuevo concepto de _____ significa que cada componente tiene una función específica.",responsabilidades
"Según la analogía de la mochila, ¿por qué una app no es un ""archivo enorme de código""?","Porque, al igual que una mochila, está compuesta por partes separadas (menú, juegos, navegación) cada una con su propia responsabilidad."
"Define el término ""Juego"" en el contexto de la app a construir.","Es una actividad específica con reglas, como el Tic Tac Toe o el Ahorcado."
"Define el término ""App"" en el contexto del proyecto educativo.",Es el programa completo que un usuario instala en su dispositivo.
"Define el término ""Sistema"" en el contexto del diseño de la app.","Es la forma en que las partes de la app (juegos, menú, etc.) están organizadas y se relacionan por dentro."
"¿Cuál es la principal responsabilidad del componente ""Menú principal"" en la arquitectura de la app?",Mostrar las opciones de juegos disponibles y permitir al usuario elegir uno.
"¿Qué es algo que el componente ""Menú principal"" explícitamente NO debe hacer?",No debe contener la lógica ni el código de los juegos dentro de sí mismo.
"¿Cuál es la principal responsabilidad de cada componente de ""Juego"" individual?","Gestionar sus propias reglas, su estado y su lógica interna."
"¿Qué es algo que un componente de ""Juego"" individual explícitamente NO debe hacer?",No debe saber qué otros juegos existen en la aplicación.
"¿Cuál es la responsabilidad del ""Sistema de navegación""?",Gestionar el cambio de vista entre el menú principal y los diferentes juegos.
¿Cuál es la pregunta clave que determina si un diseño de app es bueno y escalable?,"""Si mañana quieres añadir un cuarto juego, ¿tendrías que rehacer todo o solo añadir una pieza nueva?"""
"Un buen diseño es aquel que, al querer añadir un nuevo juego, solo requiere _____.",añadir una pieza nueva
¿Por qué se prohíbe el uso de IA durante la primera semana del proyecto?,"Porque si usas IA antes de saber qué quieres construir, te dará código que funciona pero que no entenderás."
"Según la ""Regla de oro"" del curso, la IA es un _____, no el _____.","ayudante, arquitecto"
"¿Qué tipo de preguntas son consideradas ""malos ejemplos"" para pedirle a una IA en este proyecto?","Pedirle que haga la app completa o que genere el código de una parte sin especificaciones, como ""Genera el código del menú""."
